Network,Site_Code,Lon,Lat,Texture,Topo,Site_Info,Corr_Val,RMSE_Val,MinSM,MaxSM,Heuristic,Vert_Shift,Amplitude,Horiz_Shift,Porosity,Res_SM,Drainage,n,Class,Zone,Easting,Northing
ARS,SF13,-93.30971,42.40318,6,1,"South Forks, IA (ARS)",0.709,4.769,10.7,36.5,0.524155039,0.02,0.02,269.35,30.62,14.55,0.255,200,ITC,15T,474513,4694588
ARS,SF15,-93.22077,42.42034,6,1,"South Forks, IA (ARS)",0.805,6.957,6.4,55,0.661851852,0.034,0.03,201.24,49.62,13.95,0.37,200,ITC,15T,481837,4696471
ARS,SF17,-93.444281,42.398868,6,1,"South Forks, IA (ARS)",0.702,3.914,14.2,34.3,0.507273632,0.009,0.021,228.89,33.11,13.3,0.216,250,ITC,15T,463436,4694159
ARS,SF19,-93.341192,42.637269,6,1,"South Forks, IA (ARS)",0.718,3.469,14.2,37.9,0.571628692,0.024,0.025,200.54,32.02,18.04,0.185,250,ITC,15T,472026,4720591
ARS,SJ01,-84.991245,41.472267,8,1,"St. Joseph's, IN (ARS)",0.802,4.314,2.5,47.5,0.706133333,0.011,0.016,257.85,39.62,18.32,0.221,450,LPC,16T,667732,4593132
ARS,SJ02,-84.99122,41.471915,-1,1,"St. Joseph's, IN (ARS)",0.63,4.838,11.1,44.2,0.483836858,0.023,0.039,245.38,35.04,17.73,0.123,450,LPC,16T,667735,4593093
ARS,SJ03,-84.97496,41.460604,-1,1,"St. Joseph's, IN (ARS)",0.565,5.339,11.4,40,0.378321678,0.044,0.043,173.73,25.81,14.07,0.471,250,LPC,16T,669122,4591869
ARS,SJ05,-84.958624,41.456633,3,1,"St. Joseph's, IN (ARS)",0.854,7.222,11.8,40.5,0.602362369,0.011,0.021,220.44,35.28,16.88,0.27,450,LPC,16T,670497,4591460
ARS,SJ06,-84.925142,41.493788,3,1,"St. Joseph's, IN (ARS)",0.861,4.748,2.5,39.3,0.731978261,0.023,0.02,239.63,40.64,15.49,0.103,450,LPC,16T,673194,4595652
ARS,SJ07,-85.004893,41.416158,3,1,"St. Joseph's, IN (ARS)",0.809,3.554,12.5,40.3,0.681158273,0.023,0.023,261.66,34.83,16.45,0.815,450,LPC,16T,666736,4586877
ARS,SJ08,-85.004204,41.395472,3,1,"St. Joseph's, IN (ARS)",0.364,6.037,2.5,28.2,0.129097276,0.03,0.016,274.9,27.46,7.05,0.157,450,LPC,16T,666846,4584581
ARS,SJ09,-84.944142,41.435623,-1,1,"St. Joseph's, IN (ARS)",0.383,12.525,6.3,45,0.059356589,0.033,0.033,157.58,22.08,8.68,0.634,250,LPC,16T,671762,4589156
ARS,SJ10,-84.94862,41.440674,-1,1,"St. Joseph's, IN (ARS)",0.417,8.633,13.6,33,-0.028,0.033,0.029,36.44,22.83,0,0.615,250,LPC,16T,671374,4589708
ARS,SJ11,-85.075553,41.43867,8,1,"St. Joseph's, IN (ARS)",0.78,4.541,2.5,35.2,0.641131498,0.036,0.023,259.73,24.05,2.48,0.316,450,LPC,16T,660774,4589242
ARS,SJ12,-85.071359,41.432711,8,1,"St. Joseph's, IN (ARS)",0.809,3.923,5.8,33,0.664772059,0.017,0.016,244.36,28.19,7.55,0.165,450,LPC,16T,661140,4588588
